# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3945
#@/user_id	ac57c271-be81-4f5d-ad4b-2447d3186ee2
a 	啊	c=8 d=0.181512 t=3945
duan 	段	c=1 d=0.0381969 t=3945
duan xin 	短信	c=4 d=0.0102216 t=3945
duan xiu 	短袖	c=0 d=0.000548905 t=3945
duan xiu de 	短袖的	c=1 d=0.00551656 t=3945
duan zheng 	端正	c=2 d=2.41972e-05 t=3945
dui 	對	c=9 d=0.0438872 t=3945
dui 	懟	c=1 d=8.33539e-06 t=3945
dui a 	對啊	c=3 d=0.00189679 t=3945
dui bu qi 	對不起	c=1 d=0.32628 t=3945
dui lian 	對聯	c=1 d=0.139457 t=3945
dui mian 	對面	c=1 d=5.47768e-08 t=3945
dui xiang 	對象	c=1 d=1.24994e-07 t=3945
dui yu 	對於	c=1 d=0.0115047 t=3945
dui zhao 	對照	c=1 d=0.000137073 t=3945
duo 	多	c=1 d=0.551563 t=3945
duo chu lai 	多出來	c=0 d=7.4684e-09 t=3945
duo chu lai de 	多出來的	c=1 d=7.50584e-08 t=3945
duo jiu 	多久	c=2 d=0.56561 t=3945
duo me de 	多麼地	c=1 d=0.0202419 t=3945
duo ren 	多人	c=0 d=3.25604e-07 t=3945
duo shao 	多少	c=2 d=1.06428 t=3945
duo shao qian 	多少錢	c=1 d=0.00067217 t=3945
duo shuo 	多說	c=0 d=0.0624281 t=3945
duo zhong 	多種	c=1 d=9.35125e-06 t=3945
e 	厄	c=1 d=0.0475963 t=3945
e gui 	鱷龜	c=1 d=1.39528e-07 t=3945
e luo si 	俄羅斯	c=1 d=0.19205 t=3945
ei 	誒	c=0 d=0.0111917 t=3945
en shi 	恩施	c=0 d=0.0111917 t=3945
en shi ei gan nv er 	恩施誒乾女兒	c=1 d=0.112478 t=3945
er 	二	c=1 d=0.955997 t=3945
er 	兒	c=1 d=1.73414e-06 t=3945
er 	而	c=5 d=0.60376 t=3945
er 	耳	c=1 d=2.93149e-06 t=3945
er 	貳	c=2 d=0.226667 t=3945
er bu shi 	而不是	c=1 d=1.24671e-06 t=3945
er di ti ou niao 	而敵體鷗鳥	c=1 d=0.000389752 t=3945
er du 	二度	c=1 d=1.16243e-06 t=3945
er fen 	二分	c=1 d=6.42811e-08 t=3945
er fen zhi yi 	二分之一	c=2 d=1.04739e-06 t=3945
er lai 	而來	c=1 d=0.631284 t=3945
er ma wen 	爾瑪文	c=1 d=3.11329e-08 t=3945
