# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	306
#@/user_id	ac57c271-be81-4f5d-ad4b-2447d3186ee2
a5 	啊	c=2 d=0.905673 t=306
si4 yang3 	飼養	c=1 d=0.946485 t=306
suo3 yi3 	所以	c=1 d=0.282239 t=306
tai2 	臺	c=1 d=0.307279 t=306
tai2 wan1 	臺灣	c=2 d=0.603913 t=306
tai4 jia3 	太假	c=0 d=0.0339596 t=306
tai4 jia3 le5 	太假了	c=1 d=0.341298 t=306
tan3 ke4 	坦克	c=0 d=0.0327915 t=306
te4 xiao4 	特效	c=1 d=0.336216 t=306
tian1 wen2 	天文	c=1 d=0.755784 t=306
tong1 guo4 	通過	c=1 d=0.484325 t=306
tong1 hua4 	通話	c=1 d=0.494109 t=306
tong1 xing2 zheng4 	通行證	c=1 d=0.305746 t=306
tong2 	同	c=0 d=0.032628 t=306
tong2 hao1 	茼蒿	c=1 d=0.382893 t=306
tong2 shi2 	同時	c=1 d=0.264477 t=306
tu2 zhong1 	圖中	c=1 d=0.244143 t=306
wang4 yuan3 jing4 	望遠鏡	c=1 d=0.759572 t=306
wei2 	沩	c=1 d=0.980199 t=306
wei2 he2 	違和	c=1 d=0.349938 t=306
wei4 he2 	爲何	c=1 d=0.371577 t=306
wei4 le5 	爲了	c=2 d=1.33096 t=306
wei4 shen2 me5 	爲什麼	c=2 d=0.483434 t=306
wen2 	文	c=1 d=0.802519 t=306
wen4 ge4 wen4 ti2 	問個問題	c=1 d=0.239309 t=306
wo3 	我	c=1 d=0.794534 t=306
wo3 jian4 	我見	c=0 d=0.0227638 t=306
wo3 jian4 zhi1 bu4 zhi1 dao4 yai2 gan4 shen2 me5 	我見知不知道崖幹什麼	c=1 d=0.228779 t=306
wo3 men5 de5 	我們的	c=0 d=0.0331211 t=306
wo3 men5 de5 lv3 xing2 	我們的旅行	c=1 d=0.332871 t=306
wu2 yu3 	無語	c=0 d=0.0588605 t=306
xia4 mian4 	下面	c=1 d=0.25924 t=306
xian3 e4 	險惡	c=1 d=0.565525 t=306
xiang1 dang1 yu2 	相當於	c=1 d=0.283654 t=306
xiang1 lin2 	相鄰	c=1 d=0.860708 t=306
xiang3 	想	c=1 d=0.900325 t=306
xiao1 hui3 	銷毀	c=1 d=0.67032 t=306
xiao3 	小	c=1 d=0.687289 t=306
xiao3 mi3 	小米	c=1 d=0.57695 t=306
xiao3 xian4 cheng2 	小縣城	c=1 d=0.852144 t=306
xie1 	些	c=1 d=0.414783 t=306
xie2 cheng2 	攜程	c=1 d=0.29671 t=306
xie3 chu1 	寫出	c=1 d=0.247833 t=306
xie3 le5 	寫了	c=1 d=0.263158 t=306
xin4 xi2 	信息	c=1 d=0.612626 t=306
xing2 hao4 	型號	c=0 d=0.0408608 t=306
xing2 hao4 si3 	型號死	c=1 d=0.410656 t=306
xing2 shi3 	行駛	c=1 d=0.470011 t=306
xing2 shi4 	形式	c=1 d=0.265803 t=306
xu3 duo1 	許多	c=0 d=0.0618783 t=306
ya4 	齾	c=1 d=0.232236 t=306
yai2 	崖	c=0 d=0.0227638 t=306
yang2 guan1 	陽關	c=0 d=0.0440432 t=306
yang2 guan1 san1 die2 	陽關三疊	c=1 d=0.442639 t=306
yao4 	要	c=0 d=0.0615697 t=306
ye3 	也	c=0 d=0.0625002 t=306
ye3 bu4 zhi1 dao4 	也不知道	c=1 d=0.839457 t=306
ye3 tai4 	也太	c=0 d=0.0336216 t=306
